Series ID,Year,Period,Label,Value, City
LAUCT341000000000003,1990,M01,1990 Jan,16.6, Camden
LAUCT341000000000003,1990,M02,1990 Feb,15.7, Camden
LAUCT341000000000003,1990,M03,1990 Mar,15.6, Camden
LAUCT341000000000003,1990,M04,1990 Apr,14.8, Camden
LAUCT341000000000003,1990,M05,1990 May,15.5, Camden
LAUCT341000000000003,1990,M06,1990 Jun,16.4, Camden
LAUCT341000000000003,1990,M07,1990 Jul,17.3, Camden
LAUCT341000000000003,1990,M08,1990 Aug,16.0, Camden
LAUCT341000000000003,1990,M09,1990 Sep,16.9, Camden
LAUCT341000000000003,1990,M10,1990 Oct,16.6, Camden
LAUCT341000000000003,1990,M11,1990 Nov,17.5, Camden
LAUCT341000000000003,1990,M12,1990 Dec,17.8, Camden
LAUCT341000000000003,1991,M01,1991 Jan,20.4, Camden
LAUCT341000000000003,1991,M02,1991 Feb,20.5, Camden
LAUCT341000000000003,1991,M03,1991 Mar,20.7, Camden
LAUCT341000000000003,1991,M04,1991 Apr,19.2, Camden
LAUCT341000000000003,1991,M05,1991 May,20.6, Camden
LAUCT341000000000003,1991,M06,1991 Jun,21.3, Camden
LAUCT341000000000003,1991,M07,1991 Jul,21.2, Camden
LAUCT341000000000003,1991,M08,1991 Aug,20.5, Camden
LAUCT341000000000003,1991,M09,1991 Sep,20.5, Camden
LAUCT341000000000003,1991,M10,1991 Oct,20.5, Camden
LAUCT341000000000003,1991,M11,1991 Nov,21.6, Camden
LAUCT341000000000003,1991,M12,1991 Dec,22.0, Camden
LAUCT341000000000003,1992,M01,1992 Jan,23.4, Camden
LAUCT341000000000003,1992,M02,1992 Feb,24.1, Camden
LAUCT341000000000003,1992,M03,1992 Mar,23.4, Camden
LAUCT341000000000003,1992,M04,1992 Apr,23.1, Camden
LAUCT341000000000003,1992,M05,1992 May,24.6, Camden
LAUCT341000000000003,1992,M06,1992 Jun,26.1, Camden
LAUCT341000000000003,1992,M07,1992 Jul,26.1, Camden
LAUCT341000000000003,1992,M08,1992 Aug,24.3, Camden
LAUCT341000000000003,1992,M09,1992 Sep,24.2, Camden
LAUCT341000000000003,1992,M10,1992 Oct,23.2, Camden
LAUCT341000000000003,1992,M11,1992 Nov,23.5, Camden
LAUCT341000000000003,1992,M12,1992 Dec,22.4, Camden
LAUCT341000000000003,1993,M01,1993 Jan,23.6, Camden
LAUCT341000000000003,1993,M02,1993 Feb,23.4, Camden
LAUCT341000000000003,1993,M03,1993 Mar,22.4, Camden
LAUCT341000000000003,1993,M04,1993 Apr,20.9, Camden
LAUCT341000000000003,1993,M05,1993 May,20.7, Camden
LAUCT341000000000003,1993,M06,1993 Jun,20.7, Camden
LAUCT341000000000003,1993,M07,1993 Jul,21.3, Camden
LAUCT341000000000003,1993,M08,1993 Aug,19.3, Camden
LAUCT341000000000003,1993,M09,1993 Sep,18.6, Camden
LAUCT341000000000003,1993,M10,1993 Oct,17.4, Camden
LAUCT341000000000003,1993,M11,1993 Nov,17.2, Camden
LAUCT341000000000003,1993,M12,1993 Dec,17.0, Camden
LAUCT341000000000003,1994,M01,1994 Jan,20.2, Camden
LAUCT341000000000003,1994,M02,1994 Feb,20.3, Camden
LAUCT341000000000003,1994,M03,1994 Mar,19.8, Camden
LAUCT341000000000003,1994,M04,1994 Apr,18.4, Camden
LAUCT341000000000003,1994,M05,1994 May,18.4, Camden
LAUCT341000000000003,1994,M06,1994 Jun,18.9, Camden
LAUCT341000000000003,1994,M07,1994 Jul,20.4, Camden
LAUCT341000000000003,1994,M08,1994 Aug,18.8, Camden
LAUCT341000000000003,1994,M09,1994 Sep,18.3, Camden
LAUCT341000000000003,1994,M10,1994 Oct,17.0, Camden
LAUCT341000000000003,1994,M11,1994 Nov,16.4, Camden
LAUCT341000000000003,1994,M12,1994 Dec,15.7, Camden
LAUCT341000000000003,1995,M01,1995 Jan,18.7, Camden
LAUCT341000000000003,1995,M02,1995 Feb,18.4, Camden
LAUCT341000000000003,1995,M03,1995 Mar,17.8, Camden
LAUCT341000000000003,1995,M04,1995 Apr,17.7, Camden
LAUCT341000000000003,1995,M05,1995 May,17.8, Camden
LAUCT341000000000003,1995,M06,1995 Jun,18.5, Camden
LAUCT341000000000003,1995,M07,1995 Jul,19.3, Camden
LAUCT341000000000003,1995,M08,1995 Aug,17.9, Camden
LAUCT341000000000003,1995,M09,1995 Sep,17.2, Camden
LAUCT341000000000003,1995,M10,1995 Oct,16.7, Camden
LAUCT341000000000003,1995,M11,1995 Nov,16.5, Camden
LAUCT341000000000003,1995,M12,1995 Dec,16.6, Camden
LAUCT341000000000003,1996,M01,1996 Jan,19.1, Camden
LAUCT341000000000003,1996,M02,1996 Feb,18.5, Camden
LAUCT341000000000003,1996,M03,1996 Mar,18.2, Camden
LAUCT341000000000003,1996,M04,1996 Apr,16.7, Camden
LAUCT341000000000003,1996,M05,1996 May,16.2, Camden
LAUCT341000000000003,1996,M06,1996 Jun,16.1, Camden
LAUCT341000000000003,1996,M07,1996 Jul,17.2, Camden
LAUCT341000000000003,1996,M08,1996 Aug,15.6, Camden
LAUCT341000000000003,1996,M09,1996 Sep,16.0, Camden
LAUCT341000000000003,1996,M10,1996 Oct,15.3, Camden
LAUCT341000000000003,1996,M11,1996 Nov,16.0, Camden
LAUCT341000000000003,1996,M12,1996 Dec,15.4, Camden
LAUCT341000000000003,1997,M01,1997 Jan,17.5, Camden
LAUCT341000000000003,1997,M02,1997 Feb,16.8, Camden
LAUCT341000000000003,1997,M03,1997 Mar,15.9, Camden
LAUCT341000000000003,1997,M04,1997 Apr,13.6, Camden
LAUCT341000000000003,1997,M05,1997 May,13.8, Camden
LAUCT341000000000003,1997,M06,1997 Jun,14.4, Camden
LAUCT341000000000003,1997,M07,1997 Jul,15.1, Camden
LAUCT341000000000003,1997,M08,1997 Aug,13.4, Camden
LAUCT341000000000003,1997,M09,1997 Sep,13.4, Camden
LAUCT341000000000003,1997,M10,1997 Oct,12.2, Camden
LAUCT341000000000003,1997,M11,1997 Nov,11.8, Camden
LAUCT341000000000003,1997,M12,1997 Dec,12.1, Camden
LAUCT341000000000003,1998,M01,1998 Jan,14.9, Camden
LAUCT341000000000003,1998,M02,1998 Feb,15.1, Camden
LAUCT341000000000003,1998,M03,1998 Mar,15.1, Camden
LAUCT341000000000003,1998,M04,1998 Apr,12.9, Camden
LAUCT341000000000003,1998,M05,1998 May,12.6, Camden
LAUCT341000000000003,1998,M06,1998 Jun,13.2, Camden
LAUCT341000000000003,1998,M07,1998 Jul,13.3, Camden
LAUCT341000000000003,1998,M08,1998 Aug,12.3, Camden
LAUCT341000000000003,1998,M09,1998 Sep,12.1, Camden
LAUCT341000000000003,1998,M10,1998 Oct,11.2, Camden
LAUCT341000000000003,1998,M11,1998 Nov,10.8, Camden
LAUCT341000000000003,1998,M12,1998 Dec,10.4, Camden
LAUCT341000000000003,1999,M01,1999 Jan,13.1, Camden
LAUCT341000000000003,1999,M02,1999 Feb,13.5, Camden
LAUCT341000000000003,1999,M03,1999 Mar,13.3, Camden
LAUCT341000000000003,1999,M04,1999 Apr,12.8, Camden
LAUCT341000000000003,1999,M05,1999 May,13.2, Camden
LAUCT341000000000003,1999,M06,1999 Jun,14.4, Camden
LAUCT341000000000003,1999,M07,1999 Jul,15.3, Camden
LAUCT341000000000003,1999,M08,1999 Aug,13.7, Camden
LAUCT341000000000003,1999,M09,1999 Sep,13.7, Camden
LAUCT341000000000003,1999,M10,1999 Oct,12.1, Camden
LAUCT341000000000003,1999,M11,1999 Nov,11.5, Camden
LAUCT341000000000003,1999,M12,1999 Dec,10.8, Camden
LAUCT341000000000003,2000,M01,2000 Jan,12.2, Camden
LAUCT341000000000003,2000,M02,2000 Feb,12.4, Camden
LAUCT341000000000003,2000,M03,2000 Mar,11.3, Camden
LAUCT341000000000003,2000,M04,2000 Apr,9.7, Camden
LAUCT341000000000003,2000,M05,2000 May,10.2, Camden
LAUCT341000000000003,2000,M06,2000 Jun,10.6, Camden
LAUCT341000000000003,2000,M07,2000 Jul,12.0, Camden
LAUCT341000000000003,2000,M08,2000 Aug,11.3, Camden
LAUCT341000000000003,2000,M09,2000 Sep,10.7, Camden
LAUCT341000000000003,2000,M10,2000 Oct,10.1, Camden
LAUCT341000000000003,2000,M11,2000 Nov,10.6, Camden
LAUCT341000000000003,2000,M12,2000 Dec,9.9, Camden
LAUCT341000000000003,2001,M01,2001 Jan,12.0, Camden
LAUCT341000000000003,2001,M02,2001 Feb,11.7, Camden
LAUCT341000000000003,2001,M03,2001 Mar,11.4, Camden
LAUCT341000000000003,2001,M04,2001 Apr,10.5, Camden
LAUCT341000000000003,2001,M05,2001 May,10.9, Camden
LAUCT341000000000003,2001,M06,2001 Jun,11.9, Camden
LAUCT341000000000003,2001,M07,2001 Jul,12.7, Camden
LAUCT341000000000003,2001,M08,2001 Aug,12.5, Camden
LAUCT341000000000003,2001,M09,2001 Sep,12.4, Camden
LAUCT341000000000003,2001,M10,2001 Oct,12.5, Camden
LAUCT341000000000003,2001,M11,2001 Nov,12.7, Camden
LAUCT341000000000003,2001,M12,2001 Dec,13.2, Camden
LAUCT341000000000003,2002,M01,2002 Jan,15.6, Camden
LAUCT341000000000003,2002,M02,2002 Feb,15.8, Camden
LAUCT341000000000003,2002,M03,2002 Mar,16.1, Camden
LAUCT341000000000003,2002,M04,2002 Apr,15.2, Camden
LAUCT341000000000003,2002,M05,2002 May,15.5, Camden
LAUCT341000000000003,2002,M06,2002 Jun,16.3, Camden
LAUCT341000000000003,2002,M07,2002 Jul,16.9, Camden
LAUCT341000000000003,2002,M08,2002 Aug,15.7, Camden
LAUCT341000000000003,2002,M09,2002 Sep,15.8, Camden
LAUCT341000000000003,2002,M10,2002 Oct,15.8, Camden
LAUCT341000000000003,2002,M11,2002 Nov,15.8, Camden
LAUCT341000000000003,2002,M12,2002 Dec,15.6, Camden
LAUCT341000000000003,2003,M01,2003 Jan,17.4, Camden
LAUCT341000000000003,2003,M02,2003 Feb,17.5, Camden
LAUCT341000000000003,2003,M03,2003 Mar,16.9, Camden
LAUCT341000000000003,2003,M04,2003 Apr,15.6, Camden
LAUCT341000000000003,2003,M05,2003 May,16.2, Camden
LAUCT341000000000003,2003,M06,2003 Jun,17.3, Camden
LAUCT341000000000003,2003,M07,2003 Jul,17.9, Camden
LAUCT341000000000003,2003,M08,2003 Aug,16.0, Camden
LAUCT341000000000003,2003,M09,2003 Sep,16.2, Camden
LAUCT341000000000003,2003,M10,2003 Oct,15.2, Camden
LAUCT341000000000003,2003,M11,2003 Nov,14.8, Camden
LAUCT341000000000003,2003,M12,2003 Dec,14.1, Camden
LAUCT341000000000003,2004,M01,2004 Jan,16.3, Camden
LAUCT341000000000003,2004,M02,2004 Feb,15.8, Camden
LAUCT341000000000003,2004,M03,2004 Mar,15.9, Camden
LAUCT341000000000003,2004,M04,2004 Apr,14.3, Camden
LAUCT341000000000003,2004,M05,2004 May,13.8, Camden
LAUCT341000000000003,2004,M06,2004 Jun,14.4, Camden
LAUCT341000000000003,2004,M07,2004 Jul,15.0, Camden
LAUCT341000000000003,2004,M08,2004 Aug,13.4, Camden
LAUCT341000000000003,2004,M09,2004 Sep,13.4, Camden
LAUCT341000000000003,2004,M10,2004 Oct,12.8, Camden
LAUCT341000000000003,2004,M11,2004 Nov,12.3, Camden
LAUCT341000000000003,2004,M12,2004 Dec,12.0, Camden
LAUCT341000000000003,2005,M01,2005 Jan,10.7, Camden
LAUCT341000000000003,2005,M02,2005 Feb,10.9, Camden
LAUCT341000000000003,2005,M03,2005 Mar,10.5, Camden
LAUCT341000000000003,2005,M04,2005 Apr,9.2, Camden
LAUCT341000000000003,2005,M05,2005 May,9.2, Camden
LAUCT341000000000003,2005,M06,2005 Jun,9.3, Camden
LAUCT341000000000003,2005,M07,2005 Jul,9.4, Camden
LAUCT341000000000003,2005,M08,2005 Aug,8.5, Camden
LAUCT341000000000003,2005,M09,2005 Sep,10.2, Camden
LAUCT341000000000003,2005,M10,2005 Oct,9.5, Camden
LAUCT341000000000003,2005,M11,2005 Nov,10.4, Camden
LAUCT341000000000003,2005,M12,2005 Dec,10.3, Camden
LAUCT341000000000003,2006,M01,2006 Jan,11.4, Camden
LAUCT341000000000003,2006,M02,2006 Feb,12.4, Camden
LAUCT341000000000003,2006,M03,2006 Mar,11.9, Camden
LAUCT341000000000003,2006,M04,2006 Apr,11.2, Camden
LAUCT341000000000003,2006,M05,2006 May,11.4, Camden
LAUCT341000000000003,2006,M06,2006 Jun,11.3, Camden
LAUCT341000000000003,2006,M07,2006 Jul,12.0, Camden
LAUCT341000000000003,2006,M08,2006 Aug,10.8, Camden
LAUCT341000000000003,2006,M09,2006 Sep,11.0, Camden
LAUCT341000000000003,2006,M10,2006 Oct,9.9, Camden
LAUCT341000000000003,2006,M11,2006 Nov,9.5, Camden
LAUCT341000000000003,2006,M12,2006 Dec,9.3, Camden
LAUCT341000000000003,2007,M01,2007 Jan,10.5, Camden
LAUCT341000000000003,2007,M02,2007 Feb,10.2, Camden
LAUCT341000000000003,2007,M03,2007 Mar,9.7, Camden
LAUCT341000000000003,2007,M04,2007 Apr,9.2, Camden
LAUCT341000000000003,2007,M05,2007 May,9.4, Camden
LAUCT341000000000003,2007,M06,2007 Jun,9.6, Camden
LAUCT341000000000003,2007,M07,2007 Jul,10.2, Camden
LAUCT341000000000003,2007,M08,2007 Aug,8.8, Camden
LAUCT341000000000003,2007,M09,2007 Sep,9.5, Camden
LAUCT341000000000003,2007,M10,2007 Oct,9.1, Camden
LAUCT341000000000003,2007,M11,2007 Nov,8.9, Camden
LAUCT341000000000003,2007,M12,2007 Dec,9.7, Camden
LAUCT341000000000003,2008,M01,2008 Jan,10.4, Camden
LAUCT341000000000003,2008,M02,2008 Feb,10.6, Camden
LAUCT341000000000003,2008,M03,2008 Mar,10.5, Camden
LAUCT341000000000003,2008,M04,2008 Apr,9.5, Camden
LAUCT341000000000003,2008,M05,2008 May,10.8, Camden
LAUCT341000000000003,2008,M06,2008 Jun,11.2, Camden
LAUCT341000000000003,2008,M07,2008 Jul,12.1, Camden
