Series ID,Year,Period,Label,Value, City
LAUCT342100000000003,1990,M01,1990 Jan,8.3, Elizabeth
LAUCT342100000000003,1990,M02,1990 Feb,8.1, Elizabeth
LAUCT342100000000003,1990,M03,1990 Mar,8.2, Elizabeth
LAUCT342100000000003,1990,M04,1990 Apr,8.0, Elizabeth
LAUCT342100000000003,1990,M05,1990 May,8.4, Elizabeth
LAUCT342100000000003,1990,M06,1990 Jun,8.5, Elizabeth
LAUCT342100000000003,1990,M07,1990 Jul,9.3, Elizabeth
LAUCT342100000000003,1990,M08,1990 Aug,8.9, Elizabeth
LAUCT342100000000003,1990,M09,1990 Sep,9.4, Elizabeth
LAUCT342100000000003,1990,M10,1990 Oct,9.2, Elizabeth
LAUCT342100000000003,1990,M11,1990 Nov,9.4, Elizabeth
LAUCT342100000000003,1990,M12,1990 Dec,9.4, Elizabeth
LAUCT342100000000003,1991,M01,1991 Jan,11.3, Elizabeth
LAUCT342100000000003,1991,M02,1991 Feb,11.0, Elizabeth
LAUCT342100000000003,1991,M03,1991 Mar,11.1, Elizabeth
LAUCT342100000000003,1991,M04,1991 Apr,10.3, Elizabeth
LAUCT342100000000003,1991,M05,1991 May,11.1, Elizabeth
LAUCT342100000000003,1991,M06,1991 Jun,11.1, Elizabeth
LAUCT342100000000003,1991,M07,1991 Jul,11.3, Elizabeth
LAUCT342100000000003,1991,M08,1991 Aug,11.0, Elizabeth
LAUCT342100000000003,1991,M09,1991 Sep,11.0, Elizabeth
LAUCT342100000000003,1991,M10,1991 Oct,11.6, Elizabeth
LAUCT342100000000003,1991,M11,1991 Nov,11.9, Elizabeth
LAUCT342100000000003,1991,M12,1991 Dec,12.2, Elizabeth
LAUCT342100000000003,1992,M01,1992 Jan,13.2, Elizabeth
LAUCT342100000000003,1992,M02,1992 Feb,13.7, Elizabeth
LAUCT342100000000003,1992,M03,1992 Mar,13.3, Elizabeth
LAUCT342100000000003,1992,M04,1992 Apr,13.0, Elizabeth
LAUCT342100000000003,1992,M05,1992 May,14.0, Elizabeth
LAUCT342100000000003,1992,M06,1992 Jun,14.8, Elizabeth
LAUCT342100000000003,1992,M07,1992 Jul,15.4, Elizabeth
LAUCT342100000000003,1992,M08,1992 Aug,14.6, Elizabeth
LAUCT342100000000003,1992,M09,1992 Sep,14.5, Elizabeth
LAUCT342100000000003,1992,M10,1992 Oct,13.5, Elizabeth
LAUCT342100000000003,1992,M11,1992 Nov,13.2, Elizabeth
LAUCT342100000000003,1992,M12,1992 Dec,13.0, Elizabeth
LAUCT342100000000003,1993,M01,1993 Jan,13.8, Elizabeth
LAUCT342100000000003,1993,M02,1993 Feb,14.1, Elizabeth
LAUCT342100000000003,1993,M03,1993 Mar,14.0, Elizabeth
LAUCT342100000000003,1993,M04,1993 Apr,14.0, Elizabeth
LAUCT342100000000003,1993,M05,1993 May,14.0, Elizabeth
LAUCT342100000000003,1993,M06,1993 Jun,13.9, Elizabeth
LAUCT342100000000003,1993,M07,1993 Jul,14.0, Elizabeth
LAUCT342100000000003,1993,M08,1993 Aug,12.8, Elizabeth
LAUCT342100000000003,1993,M09,1993 Sep,12.4, Elizabeth
LAUCT342100000000003,1993,M10,1993 Oct,12.1, Elizabeth
LAUCT342100000000003,1993,M11,1993 Nov,11.2, Elizabeth
LAUCT342100000000003,1993,M12,1993 Dec,10.7, Elizabeth
LAUCT342100000000003,1994,M01,1994 Jan,12.2, Elizabeth
LAUCT342100000000003,1994,M02,1994 Feb,12.2, Elizabeth
LAUCT342100000000003,1994,M03,1994 Mar,12.3, Elizabeth
LAUCT342100000000003,1994,M04,1994 Apr,11.9, Elizabeth
LAUCT342100000000003,1994,M05,1994 May,12.1, Elizabeth
LAUCT342100000000003,1994,M06,1994 Jun,12.5, Elizabeth
LAUCT342100000000003,1994,M07,1994 Jul,12.8, Elizabeth
LAUCT342100000000003,1994,M08,1994 Aug,11.8, Elizabeth
LAUCT342100000000003,1994,M09,1994 Sep,11.2, Elizabeth
LAUCT342100000000003,1994,M10,1994 Oct,10.8, Elizabeth
LAUCT342100000000003,1994,M11,1994 Nov,10.2, Elizabeth
LAUCT342100000000003,1994,M12,1994 Dec,9.4, Elizabeth
LAUCT342100000000003,1995,M01,1995 Jan,10.9, Elizabeth
LAUCT342100000000003,1995,M02,1995 Feb,10.4, Elizabeth
LAUCT342100000000003,1995,M03,1995 Mar,10.4, Elizabeth
LAUCT342100000000003,1995,M04,1995 Apr,10.3, Elizabeth
LAUCT342100000000003,1995,M05,1995 May,10.7, Elizabeth
LAUCT342100000000003,1995,M06,1995 Jun,11.2, Elizabeth
LAUCT342100000000003,1995,M07,1995 Jul,11.8, Elizabeth
LAUCT342100000000003,1995,M08,1995 Aug,11.2, Elizabeth
LAUCT342100000000003,1995,M09,1995 Sep,10.8, Elizabeth
LAUCT342100000000003,1995,M10,1995 Oct,10.0, Elizabeth
LAUCT342100000000003,1995,M11,1995 Nov,9.9, Elizabeth
LAUCT342100000000003,1995,M12,1995 Dec,9.8, Elizabeth
LAUCT342100000000003,1996,M01,1996 Jan,11.2, Elizabeth
LAUCT342100000000003,1996,M02,1996 Feb,10.9, Elizabeth
LAUCT342100000000003,1996,M03,1996 Mar,11.0, Elizabeth
LAUCT342100000000003,1996,M04,1996 Apr,10.7, Elizabeth
LAUCT342100000000003,1996,M05,1996 May,10.8, Elizabeth
LAUCT342100000000003,1996,M06,1996 Jun,10.2, Elizabeth
LAUCT342100000000003,1996,M07,1996 Jul,11.0, Elizabeth
LAUCT342100000000003,1996,M08,1996 Aug,9.9, Elizabeth
LAUCT342100000000003,1996,M09,1996 Sep,9.9, Elizabeth
LAUCT342100000000003,1996,M10,1996 Oct,9.3, Elizabeth
LAUCT342100000000003,1996,M11,1996 Nov,8.9, Elizabeth
LAUCT342100000000003,1996,M12,1996 Dec,8.8, Elizabeth
LAUCT342100000000003,1997,M01,1997 Jan,9.9, Elizabeth
LAUCT342100000000003,1997,M02,1997 Feb,9.7, Elizabeth
LAUCT342100000000003,1997,M03,1997 Mar,9.7, Elizabeth
LAUCT342100000000003,1997,M04,1997 Apr,8.8, Elizabeth
LAUCT342100000000003,1997,M05,1997 May,9.0, Elizabeth
LAUCT342100000000003,1997,M06,1997 Jun,9.4, Elizabeth
LAUCT342100000000003,1997,M07,1997 Jul,9.7, Elizabeth
LAUCT342100000000003,1997,M08,1997 Aug,8.8, Elizabeth
LAUCT342100000000003,1997,M09,1997 Sep,9.1, Elizabeth
