Series ID,Year,Period,Label,Value, City
LAUCT062700000000003,1990,M01,1990 Jan,11.2, Fresno
LAUCT062700000000003,1990,M02,1990 Feb,12.6, Fresno
LAUCT062700000000003,1990,M03,1990 Mar,12.8, Fresno
LAUCT062700000000003,1990,M04,1990 Apr,11.1, Fresno
LAUCT062700000000003,1990,M05,1990 May,9.3, Fresno
LAUCT062700000000003,1990,M06,1990 Jun,8.7, Fresno
LAUCT062700000000003,1990,M07,1990 Jul,9.1, Fresno
LAUCT062700000000003,1990,M08,1990 Aug,8.2, Fresno
LAUCT062700000000003,1990,M09,1990 Sep,8.0, Fresno
LAUCT062700000000003,1990,M10,1990 Oct,10.4, Fresno
LAUCT062700000000003,1990,M11,1990 Nov,12.4, Fresno
LAUCT062700000000003,1990,M12,1990 Dec,12.0, Fresno
LAUCT062700000000003,1991,M01,1991 Jan,13.7, Fresno
LAUCT062700000000003,1991,M02,1991 Feb,14.8, Fresno
LAUCT062700000000003,1991,M03,1991 Mar,15.3, Fresno
LAUCT062700000000003,1991,M04,1991 Apr,13.1, Fresno
LAUCT062700000000003,1991,M05,1991 May,11.7, Fresno
LAUCT062700000000003,1991,M06,1991 Jun,11.0, Fresno
LAUCT062700000000003,1991,M07,1991 Jul,10.4, Fresno
LAUCT062700000000003,1991,M08,1991 Aug,9.0, Fresno
LAUCT062700000000003,1991,M09,1991 Sep,8.2, Fresno
LAUCT062700000000003,1991,M10,1991 Oct,11.0, Fresno
LAUCT062700000000003,1991,M11,1991 Nov,13.3, Fresno
LAUCT062700000000003,1991,M12,1991 Dec,13.2, Fresno
LAUCT062700000000003,1992,M01,1992 Jan,15.1, Fresno
LAUCT062700000000003,1992,M02,1992 Feb,16.6, Fresno
LAUCT062700000000003,1992,M03,1992 Mar,16.4, Fresno
LAUCT062700000000003,1992,M04,1992 Apr,13.6, Fresno
LAUCT062700000000003,1992,M05,1992 May,12.2, Fresno
LAUCT062700000000003,1992,M06,1992 Jun,13.0, Fresno
LAUCT062700000000003,1992,M07,1992 Jul,12.1, Fresno
LAUCT062700000000003,1992,M08,1992 Aug,11.2, Fresno
LAUCT062700000000003,1992,M09,1992 Sep,12.3, Fresno
LAUCT062700000000003,1992,M10,1992 Oct,14.6, Fresno
LAUCT062700000000003,1992,M11,1992 Nov,15.8, Fresno
LAUCT062700000000003,1992,M12,1992 Dec,15.1, Fresno
LAUCT062700000000003,1993,M01,1993 Jan,16.3, Fresno
LAUCT062700000000003,1993,M02,1993 Feb,17.1, Fresno
LAUCT062700000000003,1993,M03,1993 Mar,16.6, Fresno
