Series ID,Year,Period,Label,Value, City
LAUCT225500000000003,1990,M01,1990 Jan,7, New Orleans
LAUCT225500000000003,1990,M02,1990 Feb,6.1, New Orleans
LAUCT225500000000003,1990,M03,1990 Mar,5.8, New Orleans
LAUCT225500000000003,1990,M04,1990 Apr,5.8, New Orleans
LAUCT225500000000003,1990,M05,1990 May,6.4, New Orleans
LAUCT225500000000003,1990,M06,1990 Jun,7.6, New Orleans
LAUCT225500000000003,1990,M07,1990 Jul,7.9, New Orleans
LAUCT225500000000003,1990,M08,1990 Aug,7.7, New Orleans
LAUCT225500000000003,1990,M09,1990 Sep,7.9, New Orleans
LAUCT225500000000003,1990,M10,1990 Oct,7.5, New Orleans
LAUCT225500000000003,1990,M11,1990 Nov,7.6, New Orleans
LAUCT225500000000003,1990,M12,1990 Dec,7.3, New Orleans
LAUCT225500000000003,1991,M01,1991 Jan,7.6, New Orleans
LAUCT225500000000003,1991,M02,1991 Feb,7.2, New Orleans
LAUCT225500000000003,1991,M03,1991 Mar,7.3, New Orleans
LAUCT225500000000003,1991,M04,1991 Apr,7, New Orleans
LAUCT225500000000003,1991,M05,1991 May,8.1, New Orleans
LAUCT225500000000003,1991,M06,1991 Jun,9.2, New Orleans
LAUCT225500000000003,1991,M07,1991 Jul,8.8, New Orleans
LAUCT225500000000003,1991,M08,1991 Aug,8.3, New Orleans
LAUCT225500000000003,1991,M09,1991 Sep,8, New Orleans
LAUCT225500000000003,1991,M10,1991 Oct,8.1, New Orleans
LAUCT225500000000003,1991,M11,1991 Nov,8.3, New Orleans
LAUCT225500000000003,1991,M12,1991 Dec,8, New Orleans
LAUCT225500000000003,1992,M01,1992 Jan,8.8, New Orleans
LAUCT225500000000003,1992,M02,1992 Feb,8.3, New Orleans
LAUCT225500000000003,1992,M03,1992 Mar,8.3, New Orleans
LAUCT225500000000003,1992,M04,1992 Apr,8.3, New Orleans
LAUCT225500000000003,1992,M05,1992 May,9.2, New Orleans
LAUCT225500000000003,1992,M06,1992 Jun,11.1, New Orleans
LAUCT225500000000003,1992,M07,1992 Jul,11.6, New Orleans
LAUCT225500000000003,1992,M08,1992 Aug,11.1, New Orleans
LAUCT225500000000003,1992,M09,1992 Sep,11.1, New Orleans
LAUCT225500000000003,1992,M10,1992 Oct,10.6, New Orleans
LAUCT225500000000003,1992,M11,1992 Nov,10.7, New Orleans
LAUCT225500000000003,1992,M12,1992 Dec,9.4, New Orleans
LAUCT225500000000003,1993,M01,1993 Jan,10, New Orleans
LAUCT225500000000003,1993,M02,1993 Feb,9.1, New Orleans
LAUCT225500000000003,1993,M03,1993 Mar,8.9, New Orleans
LAUCT225500000000003,1993,M04,1993 Apr,8.6, New Orleans
LAUCT225500000000003,1993,M05,1993 May,9.4, New Orleans
LAUCT225500000000003,1993,M06,1993 Jun,11.2, New Orleans
LAUCT225500000000003,1993,M07,1993 Jul,11.2, New Orleans
LAUCT225500000000003,1993,M08,1993 Aug,10.6, New Orleans
LAUCT225500000000003,1993,M09,1993 Sep,10.2, New Orleans
LAUCT225500000000003,1993,M10,1993 Oct,10.4, New Orleans
LAUCT225500000000003,1993,M11,1993 Nov,10.4, New Orleans
LAUCT225500000000003,1993,M12,1993 Dec,9.7, New Orleans
LAUCT225500000000003,1994,M01,1994 Jan,10.7, New Orleans
LAUCT225500000000003,1994,M02,1994 Feb,9.9, New Orleans
