Series ID,Year,Period,Label,Value, City
LAUCT066800000000003,1990,M01,1990 Jan,4.1, San Jose
LAUCT066800000000003,1990,M02,1990 Feb,4.1, San Jose
LAUCT066800000000003,1990,M03,1990 Mar,4.1, San Jose
LAUCT066800000000003,1990,M04,1990 Apr,4.4, San Jose
LAUCT066800000000003,1990,M05,1990 May,4.4, San Jose
LAUCT066800000000003,1990,M06,1990 Jun,4.6, San Jose
LAUCT066800000000003,1990,M07,1990 Jul,4.9, San Jose
LAUCT066800000000003,1990,M08,1990 Aug,4.6, San Jose
LAUCT066800000000003,1990,M09,1990 Sep,5.0, San Jose
LAUCT066800000000003,1990,M10,1990 Oct,5.1, San Jose
LAUCT066800000000003,1990,M11,1990 Nov,5.4, San Jose
LAUCT066800000000003,1990,M12,1990 Dec,5.3, San Jose
LAUCT066800000000003,1991,M01,1991 Jan,6.4, San Jose
LAUCT066800000000003,1991,M02,1991 Feb,6.5, San Jose
LAUCT066800000000003,1991,M03,1991 Mar,6.6, San Jose
LAUCT066800000000003,1991,M04,1991 Apr,6.4, San Jose
LAUCT066800000000003,1991,M05,1991 May,6.6, San Jose
LAUCT066800000000003,1991,M06,1991 Jun,7.0, San Jose
LAUCT066800000000003,1991,M07,1991 Jul,7.1, San Jose
LAUCT066800000000003,1991,M08,1991 Aug,6.6, San Jose
LAUCT066800000000003,1991,M09,1991 Sep,6.8, San Jose
LAUCT066800000000003,1991,M10,1991 Oct,6.7, San Jose
LAUCT066800000000003,1991,M11,1991 Nov,6.8, San Jose
LAUCT066800000000003,1991,M12,1991 Dec,6.6, San Jose
LAUCT066800000000003,1992,M01,1992 Jan,7.8, San Jose
LAUCT066800000000003,1992,M02,1992 Feb,8.0, San Jose
LAUCT066800000000003,1992,M03,1992 Mar,7.9, San Jose
LAUCT066800000000003,1992,M04,1992 Apr,7.7, San Jose
LAUCT066800000000003,1992,M05,1992 May,7.9, San Jose
LAUCT066800000000003,1992,M06,1992 Jun,8.4, San Jose
LAUCT066800000000003,1992,M07,1992 Jul,8.3, San Jose
LAUCT066800000000003,1992,M08,1992 Aug,8.0, San Jose
LAUCT066800000000003,1992,M09,1992 Sep,8.1, San Jose
LAUCT066800000000003,1992,M10,1992 Oct,7.7, San Jose
LAUCT066800000000003,1992,M11,1992 Nov,8.0, San Jose
LAUCT066800000000003,1992,M12,1992 Dec,7.7, San Jose
LAUCT066800000000003,1993,M01,1993 Jan,8.4, San Jose
LAUCT066800000000003,1993,M02,1993 Feb,8.4, San Jose
LAUCT066800000000003,1993,M03,1993 Mar,8.2, San Jose
LAUCT066800000000003,1993,M04,1993 Apr,8.1, San Jose
LAUCT066800000000003,1993,M05,1993 May,8.0, San Jose
LAUCT066800000000003,1993,M06,1993 Jun,8.4, San Jose
LAUCT066800000000003,1993,M07,1993 Jul,8.5, San Jose
LAUCT066800000000003,1993,M08,1993 Aug,8.1, San Jose
LAUCT066800000000003,1993,M09,1993 Sep,8.1, San Jose
LAUCT066800000000003,1993,M10,1993 Oct,8.0, San Jose
LAUCT066800000000003,1993,M11,1993 Nov,7.7, San Jose
LAUCT066800000000003,1993,M12,1993 Dec,7.1, San Jose
LAUCT066800000000003,1994,M01,1994 Jan,8.4, San Jose
LAUCT066800000000003,1994,M02,1994 Feb,8.1, San Jose
LAUCT066800000000003,1994,M03,1994 Mar,8.0, San Jose
LAUCT066800000000003,1994,M04,1994 Apr,7.8, San Jose
LAUCT066800000000003,1994,M05,1994 May,7.3, San Jose
LAUCT066800000000003,1994,M06,1994 Jun,7.6, San Jose
LAUCT066800000000003,1994,M07,1994 Jul,7.8, San Jose
LAUCT066800000000003,1994,M08,1994 Aug,7.4, San Jose
LAUCT066800000000003,1994,M09,1994 Sep,7.1, San Jose
LAUCT066800000000003,1994,M10,1994 Oct,6.7, San Jose
LAUCT066800000000003,1994,M11,1994 Nov,6.3, San Jose
LAUCT066800000000003,1994,M12,1994 Dec,5.7, San Jose
LAUCT066800000000003,1995,M01,1995 Jan,6.8, San Jose
LAUCT066800000000003,1995,M02,1995 Feb,6.3, San Jose
LAUCT066800000000003,1995,M03,1995 Mar,6.2, San Jose
LAUCT066800000000003,1995,M04,1995 Apr,6.4, San Jose
LAUCT066800000000003,1995,M05,1995 May,6.0, San Jose
LAUCT066800000000003,1995,M06,1995 Jun,6.0, San Jose
LAUCT066800000000003,1995,M07,1995 Jul,6.3, San Jose
LAUCT066800000000003,1995,M08,1995 Aug,5.7, San Jose
LAUCT066800000000003,1995,M09,1995 Sep,5.4, San Jose
LAUCT066800000000003,1995,M10,1995 Oct,5.0, San Jose
LAUCT066800000000003,1995,M11,1995 Nov,4.8, San Jose
LAUCT066800000000003,1995,M12,1995 Dec,4.2, San Jose
LAUCT066800000000003,1996,M01,1996 Jan,4.9, San Jose
LAUCT066800000000003,1996,M02,1996 Feb,4.6, San Jose
LAUCT066800000000003,1996,M03,1996 Mar,4.5, San Jose
LAUCT066800000000003,1996,M04,1996 Apr,4.4, San Jose
LAUCT066800000000003,1996,M05,1996 May,4.3, San Jose
LAUCT066800000000003,1996,M06,1996 Jun,4.2, San Jose
LAUCT066800000000003,1996,M07,1996 Jul,4.5, San Jose
LAUCT066800000000003,1996,M08,1996 Aug,4.2, San Jose
LAUCT066800000000003,1996,M09,1996 Sep,4.3, San Jose
LAUCT066800000000003,1996,M10,1996 Oct,4.1, San Jose
LAUCT066800000000003,1996,M11,1996 Nov,4.0, San Jose
LAUCT066800000000003,1996,M12,1996 Dec,3.6, San Jose
LAUCT066800000000003,1997,M01,1997 Jan,4.2, San Jose
LAUCT066800000000003,1997,M02,1997 Feb,4.0, San Jose
LAUCT066800000000003,1997,M03,1997 Mar,3.9, San Jose
LAUCT066800000000003,1997,M04,1997 Apr,3.7, San Jose
LAUCT066800000000003,1997,M05,1997 May,3.6, San Jose
LAUCT066800000000003,1997,M06,1997 Jun,3.7, San Jose
LAUCT066800000000003,1997,M07,1997 Jul,3.8, San Jose
LAUCT066800000000003,1997,M08,1997 Aug,3.6, San Jose
LAUCT066800000000003,1997,M09,1997 Sep,3.7, San Jose
LAUCT066800000000003,1997,M10,1997 Oct,3.2, San Jose
LAUCT066800000000003,1997,M11,1997 Nov,3.0, San Jose
