Series ID,Year,Period,Label,Value, City
LAUCT098000000000003,1990,M01,1990 Jan,8.3, Waterbury
LAUCT098000000000003,1990,M02,1990 Feb,7.7, Waterbury
LAUCT098000000000003,1990,M03,1990 Mar,7.7, Waterbury
LAUCT098000000000003,1990,M04,1990 Apr,8.1, Waterbury
LAUCT098000000000003,1990,M05,1990 May,7.7, Waterbury
LAUCT098000000000003,1990,M06,1990 Jun,8.0, Waterbury
LAUCT098000000000003,1990,M07,1990 Jul,8.5, Waterbury
LAUCT098000000000003,1990,M08,1990 Aug,7.9, Waterbury
LAUCT098000000000003,1990,M09,1990 Sep,8.1, Waterbury
LAUCT098000000000003,1990,M10,1990 Oct,7.9, Waterbury
LAUCT098000000000003,1990,M11,1990 Nov,8.3, Waterbury
LAUCT098000000000003,1990,M12,1990 Dec,8.0, Waterbury
LAUCT098000000000003,1991,M01,1991 Jan,9.7, Waterbury
LAUCT098000000000003,1991,M02,1991 Feb,9.3, Waterbury
LAUCT098000000000003,1991,M03,1991 Mar,9.0, Waterbury
LAUCT098000000000003,1991,M04,1991 Apr,8.8, Waterbury
LAUCT098000000000003,1991,M05,1991 May,9.4, Waterbury
LAUCT098000000000003,1991,M06,1991 Jun,9.9, Waterbury
LAUCT098000000000003,1991,M07,1991 Jul,10.5, Waterbury
LAUCT098000000000003,1991,M08,1991 Aug,9.9, Waterbury
LAUCT098000000000003,1991,M09,1991 Sep,9.9, Waterbury
LAUCT098000000000003,1991,M10,1991 Oct,10.1, Waterbury
LAUCT098000000000003,1991,M11,1991 Nov,10.4, Waterbury
LAUCT098000000000003,1991,M12,1991 Dec,10.2, Waterbury
LAUCT098000000000003,1992,M01,1992 Jan,11.6, Waterbury
LAUCT098000000000003,1992,M02,1992 Feb,11.5, Waterbury
LAUCT098000000000003,1992,M03,1992 Mar,10.7, Waterbury
LAUCT098000000000003,1992,M04,1992 Apr,10.4, Waterbury
LAUCT098000000000003,1992,M05,1992 May,11.2, Waterbury
LAUCT098000000000003,1992,M06,1992 Jun,11.7, Waterbury
LAUCT098000000000003,1992,M07,1992 Jul,11.6, Waterbury
LAUCT098000000000003,1992,M08,1992 Aug,10.9, Waterbury
LAUCT098000000000003,1992,M09,1992 Sep,11.2, Waterbury
LAUCT098000000000003,1992,M10,1992 Oct,11.2, Waterbury
LAUCT098000000000003,1992,M11,1992 Nov,11.3, Waterbury
LAUCT098000000000003,1992,M12,1992 Dec,11.0, Waterbury
LAUCT098000000000003,1993,M01,1993 Jan,11.8, Waterbury
LAUCT098000000000003,1993,M02,1993 Feb,11.2, Waterbury
LAUCT098000000000003,1993,M03,1993 Mar,10.3, Waterbury
LAUCT098000000000003,1993,M04,1993 Apr,10.0, Waterbury
LAUCT098000000000003,1993,M05,1993 May,9.6, Waterbury
LAUCT098000000000003,1993,M06,1993 Jun,9.5, Waterbury
LAUCT098000000000003,1993,M07,1993 Jul,9.4, Waterbury
LAUCT098000000000003,1993,M08,1993 Aug,8.5, Waterbury
LAUCT098000000000003,1993,M09,1993 Sep,8.2, Waterbury
LAUCT098000000000003,1993,M10,1993 Oct,8.1, Waterbury
LAUCT098000000000003,1993,M11,1993 Nov,7.9, Waterbury
LAUCT098000000000003,1993,M12,1993 Dec,7.7, Waterbury
LAUCT098000000000003,1994,M01,1994 Jan,9.1, Waterbury
LAUCT098000000000003,1994,M02,1994 Feb,9.2, Waterbury
LAUCT098000000000003,1994,M03,1994 Mar,8.5, Waterbury
LAUCT098000000000003,1994,M04,1994 Apr,8.1, Waterbury
LAUCT098000000000003,1994,M05,1994 May,8.3, Waterbury
LAUCT098000000000003,1994,M06,1994 Jun,8.4, Waterbury
LAUCT098000000000003,1994,M07,1994 Jul,8.9, Waterbury
LAUCT098000000000003,1994,M08,1994 Aug,8.0, Waterbury
LAUCT098000000000003,1994,M09,1994 Sep,7.7, Waterbury
LAUCT098000000000003,1994,M10,1994 Oct,7.4, Waterbury
LAUCT098000000000003,1994,M11,1994 Nov,7.6, Waterbury
LAUCT098000000000003,1994,M12,1994 Dec,7.4, Waterbury
LAUCT098000000000003,1995,M01,1995 Jan,8.3, Waterbury
LAUCT098000000000003,1995,M02,1995 Feb,8.2, Waterbury
LAUCT098000000000003,1995,M03,1995 Mar,8.0, Waterbury
LAUCT098000000000003,1995,M04,1995 Apr,7.9, Waterbury
LAUCT098000000000003,1995,M05,1995 May,7.5, Waterbury
LAUCT098000000000003,1995,M06,1995 Jun,7.5, Waterbury
LAUCT098000000000003,1995,M07,1995 Jul,7.9, Waterbury
LAUCT098000000000003,1995,M08,1995 Aug,7.3, Waterbury
LAUCT098000000000003,1995,M09,1995 Sep,6.9, Waterbury
LAUCT098000000000003,1995,M10,1995 Oct,6.7, Waterbury
LAUCT098000000000003,1995,M11,1995 Nov,6.7, Waterbury
LAUCT098000000000003,1995,M12,1995 Dec,6.5, Waterbury
LAUCT098000000000003,1996,M01,1996 Jan,8.1, Waterbury
LAUCT098000000000003,1996,M02,1996 Feb,7.9, Waterbury
LAUCT098000000000003,1996,M03,1996 Mar,7.5, Waterbury
LAUCT098000000000003,1996,M04,1996 Apr,7.8, Waterbury
LAUCT098000000000003,1996,M05,1996 May,7.7, Waterbury
LAUCT098000000000003,1996,M06,1996 Jun,7.7, Waterbury
LAUCT098000000000003,1996,M07,1996 Jul,8.4, Waterbury
LAUCT098000000000003,1996,M08,1996 Aug,7.3, Waterbury
LAUCT098000000000003,1996,M09,1996 Sep,7.7, Waterbury
LAUCT098000000000003,1996,M10,1996 Oct,7.6, Waterbury
LAUCT098000000000003,1996,M11,1996 Nov,7.8, Waterbury
LAUCT098000000000003,1996,M12,1996 Dec,7.6, Waterbury
LAUCT098000000000003,1997,M01,1997 Jan,8.7, Waterbury
LAUCT098000000000003,1997,M02,1997 Feb,8.5, Waterbury
LAUCT098000000000003,1997,M03,1997 Mar,8.5, Waterbury
LAUCT098000000000003,1997,M04,1997 Apr,8.1, Waterbury
LAUCT098000000000003,1997,M05,1997 May,7.7, Waterbury
LAUCT098000000000003,1997,M06,1997 Jun,7.6, Waterbury
LAUCT098000000000003,1997,M07,1997 Jul,7.3, Waterbury
LAUCT098000000000003,1997,M08,1997 Aug,6.3, Waterbury
LAUCT098000000000003,1997,M09,1997 Sep,5.8, Waterbury
LAUCT098000000000003,1997,M10,1997 Oct,5.7, Waterbury
LAUCT098000000000003,1997,M11,1997 Nov,5.4, Waterbury
LAUCT098000000000003,1997,M12,1997 Dec,5.0, Waterbury
LAUCT098000000000003,1998,M01,1998 Jan,6.6, Waterbury
LAUCT098000000000003,1998,M02,1998 Feb,6.6, Waterbury
LAUCT098000000000003,1998,M03,1998 Mar,6.5, Waterbury
LAUCT098000000000003,1998,M04,1998 Apr,5.6, Waterbury
LAUCT098000000000003,1998,M05,1998 May,5.6, Waterbury
LAUCT098000000000003,1998,M06,1998 Jun,5.7, Waterbury
LAUCT098000000000003,1998,M07,1998 Jul,5.6, Waterbury
LAUCT098000000000003,1998,M08,1998 Aug,4.8, Waterbury
LAUCT098000000000003,1998,M09,1998 Sep,4.6, Waterbury
LAUCT098000000000003,1998,M10,1998 Oct,4.1, Waterbury
LAUCT098000000000003,1998,M11,1998 Nov,4.3, Waterbury
LAUCT098000000000003,1998,M12,1998 Dec,3.8, Waterbury
LAUCT098000000000003,1999,M01,1999 Jan,5.4, Waterbury
LAUCT098000000000003,1999,M02,1999 Feb,5.5, Waterbury
LAUCT098000000000003,1999,M03,1999 Mar,4.9, Waterbury
LAUCT098000000000003,1999,M04,1999 Apr,5.2, Waterbury
LAUCT098000000000003,1999,M05,1999 May,4.6, Waterbury
LAUCT098000000000003,1999,M06,1999 Jun,4.7, Waterbury
